mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
6.472742080688477,0.8047276633117031,1.3876148064931233,0.3029171378430772,20,1,2,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9802861249914436,0.9800794085432639,0.9806270536692223,0.9803308624013098,0.0002258020857265014,1,0.9998973165388828,0.9997946401067871,0.9997604134579183,0.9998174567011961,5.8172508568393634e-05
6.0231146812438965,1.1633264036003605,0.7781399885813395,0.21841186697924536,20,1,2,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9803545759463345,0.97973713033954,0.9808324205914567,0.9803080422924437,0.0004483593943064303,2,1.0,0.9999315467022624,0.9999657733511312,0.9999657733511311,2.79459417780038e-05
12.482986132303873,2.139551475241743,2.0754156907399497,0.6576117865603119,20,1,2,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9802176740365528,0.9796686746987951,0.9809008762322016,0.9802624083225165,0.0005040377115440168,3,1.0,1.0,1.0,1.0,0.0
13.687873125076294,1.183789208204219,1.9001757303873699,0.5870288876471508,20,1,5,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.980559928811007,0.979394852135816,0.9805585980284776,0.9801711263251002,0.0005489090121669383,4,0.9987335706462213,0.9988705205873293,0.9983228942054283,0.9986423284796596,0.00023269080093210433
8.321924050649008,1.4653889895005905,1.094964901606242,0.4683588359046116,30,1,2,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.980149223081662,0.9796686746987951,0.9805585980284776,0.9801254986029783,0.00036369677969875505,5,1.0,1.0,1.0,1.0,0.0
3.2567735513051352,0.9879855590213134,0.9029809633890787,0.18505498570086673,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.980149223081662,0.9796686746987951,0.9805585980284776,0.9801254986029783,0.00036369677969875505,5,1.0,1.0,1.0,1.0,0.0
3.940858999888102,0.42532340187681345,0.5769951343536377,0.08857586376220958,20,1,5,50,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9798754192620988,0.9794633077765608,0.9807639649507119,0.9800342306631239,0.0005427357042424908,7,0.9977751916757941,0.9981175343122155,0.9977068145257898,0.9978665135045999,0.00017968016594810594
9.753028154373169,1.6000839678521244,2.349851051966349,0.5613521960114406,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9800123211718803,0.9796002190580504,0.9804901423877328,0.9800342275392211,0.0003636397483552553,8,0.9991100766703176,0.9990758804805422,0.999110107129411,0.9990986880934236,1.6127422524994766e-05
12.5302046140035,0.3565460553763986,2.3669825394948325,0.06189337040748191,30,1,5,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9800123211718803,0.9796002190580504,0.9804901423877328,0.9800342275392211,0.0003636397483552553,8,0.9991100766703176,0.9990758804805422,0.999110107129411,0.9990986880934236,1.6127422524994766e-05
9.042882442474365,2.205139042667954,1.2291913827260335,0.26516654203556767,20,1,5,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.980149223081662,0.9792579408543264,0.9806955093099672,0.9800342244153185,0.0005924915111115947,10,0.9984255202628697,0.9984598008009036,0.9977410411746586,0.9982087874128105,0.0003310424910299938
